   0.00 0
   1.00 4669
   2.00 949
   3.00 0
   4.00 302
   5.00 172
   6.00 0
   7.00 116
   8.00 81
   9.00 0
  10.00 69
  11.00 81
  12.00 0
  13.00 73
  14.00 59
  15.00 47
  16.00 0
  17.00 35
  18.00 32
  19.00 0
  20.00 21
  21.00 22
  22.00 0
  23.00 18
  24.00 26
  25.00 0
  26.00 19
  27.00 12
  28.00 18
  29.00 0
  30.00 13
  31.00 18
  32.00 0
  33.00 10
  34.00 13
  35.00 0
  36.00 13
  37.00 9
  38.00 0
  39.00 7
  40.00 7
  41.00 0
  42.00 8
  43.00 7
  44.00 7
  45.00 0
  46.00 5
  47.00 9
  48.00 0
  49.00 7
  50.00 6
  51.00 0
  52.00 6
  53.00 5
  54.00 0
  55.00 9
  56.00 9
  57.00 8
  58.00 0
  59.00 10
  60.00 8
  61.00 0
  62.00 14
  63.00 9
  64.00 0
  65.00 5
  66.00 5
  67.00 0
  68.00 10
  69.00 8
  70.00 0
  71.00 12
  72.00 9
  73.00 13
  74.00 0
  75.00 12
  76.00 14
  77.00 0
  78.00 17
  79.00 15
  80.00 0
  81.00 11
  82.00 18
  83.00 0
  84.00 26
  85.00 41
  86.00 33
  87.00 0
  88.00 19
  89.00 15
  90.00 0
  91.00 21
  92.00 9
  93.00 0
  94.00 10
  95.00 2
  96.00 0
  97.00 4
  98.00 0
  99.00 0
